Event ID,Event Name,Event Size,Campus,Number of Weeks,Weeks,Week List,Room,Building,Timeslot,Duration (minutes),Assigned_RoomID,Assigned_Room_Number,Assigned_Campus,Assigned_Building,Assigned_Capacity,Assigned_Room_Type,Campus_Changed,Capacity_Utilization,Overcapacity
E:3BZ5KJKKKB,IFP - Introducing Social Science Lecture,60.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0591_-1_B1.11,Outreach Centre,Monday 11:00,70,0209_02_2.37,2.37,Central,7 George Square,30,Classroom Style,True,200.0,True
E:BLGWRLK3UD,IFP - Living and Learning in Britain B,30.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0558_05_5.11,Charteris Land,Thursday 09:00,90,0551_01_1.21,1.21,Holyrood,Patersons Land,40,Classroom Style,False,75.0,False
E:4YQ7R95X4X,IFP - Introducing Social Science C,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1_LG48,Patersons Land,Thursday 13:00,80,0251_01_1.01,1.01,Central,21 Buccleuch Place,28,Classroom Style,True,71.43,False
E:9O855BXTYW,IFP - Introducing Philosophy B,20.0,Holyrood,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0551_-1_LG48,Patersons Land,Thursday 15:00,80,0201_02_2.06,2.06,Central,Appleton Tower,18,Classroom Style,True,111.11,True
E:SK176R8PL5,Artistic Research Themes and Methods - Seminar/05,15.0,Holyrood,9,"10, 11, 12, 13, 14, 15, 17, 18, 19","[10, 11, 12, 13, 14, 15, 17, 18, 19]",0591_-1_B1.05,Outreach Centre,Wednesday 10:30,120,0551_01_1.27,1.27,Holyrood,Patersons Land,25,Boardroom Style,False,60.0,False
E:HOY3UJNIJZ,Architectural History 1A: Introduction to World Architecture - Tutorial/09,12.0,Central,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0008_-1_B.152,Minto House,Wednesday 11:00,50,0551_00_G36A,G36A,Holyrood,Patersons Land,12,Classroom Style,True,100.0,False
E:9Y9XPC6Z85,Postgraduate Composition - Workshop (PG),20.0,Central,5,"10, 12, 14, 16, 18","[10, 12, 14, 16, 18]",0110_02_2.01,Alison House,Friday 14:00,50,0335_03_3.3,3.3,Central,Lister Learning and Teaching Centre,40,Classroom Style,False,50.0,False
E:8S35KGCAOW,Music Analysis - Tutorial group/C,20.0,Central,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0110_02_2.04,Alison House,Friday 14:00,50,0001_00_G.159,G.159,Central,Old College,108,Classroom Style,False,18.52,False
E:Y3W9F31TP8,Multi-Sensory Cultures (Level 11) - Seminar/01,20.0,Central,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0003_00_G.01,7-8 Chambers Street,Wednesday 10:00,50,0450_03_3.43,3.43,Central,Edinburgh Futures Institute (EFI),12,Specialist Room,False,166.67,True
E:IGGOSF9PLK,Urbanism and the City: Past to Present - Tutorial/02,12.0,Central,2,"10, 11","[10, 11]",0008_-1_B.154,Minto House,Monday 11:00,50,0251_01_1.02,1.02,Central,21 Buccleuch Place,28,Classroom Style,False,42.86,False
E:CL5QK7ERIY,Creative Musicianship Composition - Tutorial group/D,12.0,Central,4,"11, 13, 15, 17","[11, 13, 15, 17]",0110_02_2.01,Alison House,Thursday 15:00,50,0227_02_2.03,2.03,Central,50 George Square,18,Boardroom Style,False,66.67,False
